Hospital_Client,Client_Index,Class_ID,Sample_Count,Class_Proportion,Train_Total,Val_Total,Test_Total,Combined_Total
Hospital_1_GeneralWard,0,0,153,0.0521,2935,161,162,3258
Hospital_1_GeneralWard,0,1,7,0.0024,2935,161,162,3258
Hospital_1_GeneralWard,0,2,65,0.0221,2935,161,162,3258
Hospital_1_GeneralWard,0,3,45,0.0153,2935,161,162,3258
Hospital_1_GeneralWard,0,4,4,0.0014,2935,161,162,3258
Hospital_1_GeneralWard,0,5,53,0.0181,2935,161,162,3258
Hospital_1_GeneralWard,0,6,2365,0.8058,2935,161,162,3258
Hospital_1_GeneralWard,0,7,121,0.0412,2935,161,162,3258
Hospital_1_GeneralWard,0,8,29,0.0099,2935,161,162,3258
Hospital_1_GeneralWard,0,9,2,0.0007,2935,161,162,3258
Hospital_1_GeneralWard,0,10,61,0.0208,2935,161,162,3258
Hospital_1_GeneralWard,0,11,30,0.0102,2935,161,162,3258
Hospital_2_CardiologyICU,1,0,16,0.0113,1417,701,699,2817
Hospital_2_CardiologyICU,1,1,51,0.036,1417,701,699,2817
Hospital_2_CardiologyICU,1,2,101,0.0713,1417,701,699,2817
Hospital_2_CardiologyICU,1,3,2,0.0014,1417,701,699,2817
Hospital_2_CardiologyICU,1,4,41,0.0289,1417,701,699,2817
Hospital_2_CardiologyICU,1,5,15,0.0106,1417,701,699,2817
Hospital_2_CardiologyICU,1,6,869,0.6133,1417,701,699,2817
Hospital_2_CardiologyICU,1,7,6,0.0042,1417,701,699,2817
Hospital_2_CardiologyICU,1,8,192,0.1355,1417,701,699,2817
Hospital_2_CardiologyICU,1,9,24,0.0169,1417,701,699,2817
Hospital_2_CardiologyICU,1,10,87,0.0614,1417,701,699,2817
Hospital_2_CardiologyICU,1,11,13,0.0092,1417,701,699,2817
Hospital_3_PediatricUnit,2,0,32,0.0304,1051,320,319,1690
Hospital_3_PediatricUnit,2,1,131,0.1246,1051,320,319,1690
Hospital_3_PediatricUnit,2,2,26,0.0247,1051,320,319,1690
Hospital_3_PediatricUnit,2,3,47,0.0447,1051,320,319,1690
Hospital_3_PediatricUnit,2,4,37,0.0352,1051,320,319,1690
Hospital_3_PediatricUnit,2,5,96,0.0913,1051,320,319,1690
Hospital_3_PediatricUnit,2,6,487,0.4634,1051,320,319,1690
Hospital_3_PediatricUnit,2,7,14,0.0133,1051,320,319,1690
Hospital_3_PediatricUnit,2,8,9,0.0086,1051,320,319,1690
Hospital_3_PediatricUnit,2,9,59,0.0561,1051,320,319,1690
Hospital_3_PediatricUnit,2,10,7,0.0067,1051,320,319,1690
Hospital_3_PediatricUnit,2,11,106,0.1009,1051,320,319,1690
Hospital_4_OncologyCenter,3,0,2,0.0044,452,91,91,634
Hospital_4_OncologyCenter,3,1,85,0.1881,452,91,91,634
Hospital_4_OncologyCenter,3,3,80,0.177,452,91,91,634
Hospital_4_OncologyCenter,3,4,35,0.0774,452,91,91,634
Hospital_4_OncologyCenter,3,5,53,0.1173,452,91,91,634
Hospital_4_OncologyCenter,3,6,2,0.0044,452,91,91,634
Hospital_4_OncologyCenter,3,7,63,0.1394,452,91,91,634
Hospital_4_OncologyCenter,3,8,12,0.0265,452,91,91,634
Hospital_4_OncologyCenter,3,9,114,0.2522,452,91,91,634
Hospital_4_OncologyCenter,3,10,2,0.0044,452,91,91,634
Hospital_4_OncologyCenter,3,11,4,0.0088,452,91,91,634
Hospital_5_EmergencyUnit,4,0,37,0.0557,664,125,127,916
Hospital_5_EmergencyUnit,4,1,4,0.006,664,125,127,916
Hospital_5_EmergencyUnit,4,2,35,0.0527,664,125,127,916
Hospital_5_EmergencyUnit,4,3,65,0.0979,664,125,127,916
Hospital_5_EmergencyUnit,4,4,110,0.1657,664,125,127,916
Hospital_5_EmergencyUnit,4,5,15,0.0226,664,125,127,916
Hospital_5_EmergencyUnit,4,6,159,0.2395,664,125,127,916
Hospital_5_EmergencyUnit,4,7,20,0.0301,664,125,127,916
Hospital_5_EmergencyUnit,4,8,5,0.0075,664,125,127,916
Hospital_5_EmergencyUnit,4,9,46,0.0693,664,125,127,916
Hospital_5_EmergencyUnit,4,10,78,0.1175,664,125,127,916
Hospital_5_EmergencyUnit,4,11,90,0.1355,664,125,127,916
