round,participating_clients,num_participating,round_comm_mb,cumulative_comm_mb,val_accuracy,val_f1_macro,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
1,"['Hospital_4_OncologyCenter', 'Hospital_3_PediatricUnit', 'Hospital_2_CardiologyICU', 'Hospital_1_GeneralWard', 'Hospital_5_EmergencyUnit']",5,2.1025,2.1025,0.5958512160228898,0.062229194681010014,0.5951359084406295,0.06218236173393124,0.04959465903671912,0.08333333333333333
2,"['Hospital_1_GeneralWard', 'Hospital_3_PediatricUnit', 'Hospital_2_CardiologyICU', 'Hospital_4_OncologyCenter', 'Hospital_5_EmergencyUnit']",5,2.1025,4.205,0.5958512160228898,0.062229194681010014,0.5951359084406295,0.06218236173393124,0.04959465903671912,0.08333333333333333
3,"['Hospital_2_CardiologyICU', 'Hospital_5_EmergencyUnit', 'Hospital_1_GeneralWard', 'Hospital_3_PediatricUnit', 'Hospital_4_OncologyCenter']",5,2.1025,6.3075,0.5958512160228898,0.062229194681010014,0.5951359084406295,0.06218236173393124,0.04959465903671912,0.08333333333333333
4,"['Hospital_4_OncologyCenter', 'Hospital_2_CardiologyICU', 'Hospital_3_PediatricUnit', 'Hospital_5_EmergencyUnit', 'Hospital_1_GeneralWard']",5,2.1025,8.41,0.5958512160228898,0.062229194681010014,0.5951359084406295,0.06218236173393124,0.04959465903671912,0.08333333333333333
5,"['Hospital_3_PediatricUnit', 'Hospital_2_CardiologyICU', 'Hospital_4_OncologyCenter', 'Hospital_5_EmergencyUnit', 'Hospital_1_GeneralWard']",5,2.1025,10.5125,0.5958512160228898,0.062229194681010014,0.5951359084406295,0.06218236173393124,0.04959465903671912,0.08333333333333333
6,"['Hospital_3_PediatricUnit', 'Hospital_5_EmergencyUnit', 'Hospital_2_CardiologyICU', 'Hospital_4_OncologyCenter', 'Hospital_1_GeneralWard']",5,2.1025,12.6151,0.5958512160228898,0.062229194681010014,0.5951359084406295,0.06218236173393124,0.04959465903671912,0.08333333333333333
7,"['Hospital_5_EmergencyUnit', 'Hospital_4_OncologyCenter', 'Hospital_1_GeneralWard', 'Hospital_2_CardiologyICU', 'Hospital_3_PediatricUnit']",5,2.1025,14.7176,0.5958512160228898,0.062229194681010014,0.5944206008583691,0.06213548676536563,0.049570508231925554,0.08323317307692307
8,"['Hospital_4_OncologyCenter', 'Hospital_3_PediatricUnit', 'Hospital_2_CardiologyICU', 'Hospital_5_EmergencyUnit', 'Hospital_1_GeneralWard']",5,2.1025,16.8201,0.5958512160228898,0.062229194681010014,0.5944206008583691,0.06213548676536563,0.049570508231925554,0.08323317307692307
9,"['Hospital_3_PediatricUnit', 'Hospital_4_OncologyCenter', 'Hospital_1_GeneralWard', 'Hospital_5_EmergencyUnit', 'Hospital_2_CardiologyICU']",5,2.1025,18.9226,0.5929899856938483,0.062041610537344714,0.5944206008583691,0.06216337522441651,0.049606017191977075,0.08323317307692307
10,"['Hospital_1_GeneralWard', 'Hospital_3_PediatricUnit', 'Hospital_2_CardiologyICU', 'Hospital_4_OncologyCenter', 'Hospital_5_EmergencyUnit']",5,2.1025,21.0251,0.5908440629470673,0.06192832508621982,0.5929899856938483,0.062041610537344714,0.0495221027479092,0.08303285256410256
